Date,Young workers,All workers,Recent graduates,College graduates
1/1/1990,0.076,0.051,0.034,2.3
2/1/1990,0.076,0.051,0.03,2.2
3/1/1990,0.076,0.05,0.031,2.2
4/1/1990,0.077,0.051,0.036000000000000004,2.2
5/1/1990,0.077,0.051,0.039,2.2
6/1/1990,0.076,0.051,0.039,2.3
7/1/1990,0.076,0.052000000000000005,0.037000000000000005,2.3
8/1/1990,0.079,0.053,0.037000000000000005,2.4
9/1/1990,0.08199999999999999,0.055,0.037000000000000005,2.4
10/1/1990,0.083,0.055999999999999994,0.037000000000000005,2.4
11/1/1990,0.084,0.057999999999999996,0.038,2.5
12/1/1990,0.086,0.059000000000000004,0.040999999999999995,2.5
1/1/1991,0.08800000000000001,0.061,0.045,2.7
2/1/1991,0.091,0.062,0.048,2.8
3/1/1991,0.095,0.064,0.048,2.9
4/1/1991,0.09699999999999999,0.065,0.046,3.0
5/1/1991,0.099,0.066,0.046,3.1
6/1/1991,0.098,0.066,0.048,3.1
7/1/1991,0.099,0.066,0.049,3.1
8/1/1991,0.099,0.066,0.048,3.0
9/1/1991,0.1,0.066,0.046,3.0
10/1/1991,0.10300000000000001,0.067,0.047,3.0
11/1/1991,0.105,0.068,0.048,3.0
12/1/1991,0.107,0.069,0.051,3.1
1/1/1992,0.106,0.07,0.048,3.1
2/1/1992,0.106,0.071,0.049,3.3
3/1/1992,0.107,0.07200000000000001,0.048,3.3
4/1/1992,0.109,0.07200000000000001,0.045,3.3
5/1/1992,0.111,0.07200000000000001,0.046,3.2
6/1/1992,0.113,0.073,0.044000000000000004,3.3
7/1/1992,0.11199999999999999,0.07400000000000001,0.049,3.4
8/1/1992,0.11,0.07400000000000001,0.049,3.3
9/1/1992,0.109,0.073,0.051,3.4
10/1/1992,0.109,0.073,0.05,3.5
11/1/1992,0.11,0.07200000000000001,0.051,3.6
12/1/1992,0.111,0.07200000000000001,0.049,3.5
1/1/1993,0.111,0.071,0.048,3.4
2/1/1993,0.107,0.07,0.046,3.3
3/1/1993,0.10300000000000001,0.069,0.048,3.3
4/1/1993,0.1,0.068,0.047,3.3
5/1/1993,0.10099999999999999,0.068,0.046,3.2
6/1/1993,0.10099999999999999,0.067,0.042,3.1
7/1/1993,0.10099999999999999,0.067,0.040999999999999995,3.0
8/1/1993,0.10099999999999999,0.066,0.04,2.9
9/1/1993,0.099,0.065,0.043,2.9
10/1/1993,0.096,0.065,0.043,2.9
11/1/1993,0.094,0.064,0.044000000000000004,3.0
12/1/1993,0.094,0.063,0.047,2.9
1/1/1994,0.096,0.062,0.048,3.0
2/1/1994,0.09699999999999999,0.062,0.045,2.9
3/1/1994,0.096,0.062,0.039,2.9
4/1/1994,0.095,0.062,0.039,2.8
5/1/1994,0.09300000000000001,0.06,0.04,2.7
6/1/1994,0.09300000000000001,0.059000000000000004,0.042,2.6
7/1/1994,0.092,0.057,0.042,2.7
8/1/1994,0.09,0.057999999999999996,0.043,2.7
9/1/1994,0.08900000000000001,0.057,0.040999999999999995,2.7
10/1/1994,0.08800000000000001,0.057,0.040999999999999995,2.6
11/1/1994,0.085,0.055,0.04,2.5
12/1/1994,0.08199999999999999,0.054000000000000006,0.038,2.4
1/1/1995,0.08,0.053,0.038,2.4
2/1/1995,0.079,0.052000000000000005,0.040999999999999995,2.5
3/1/1995,0.08,0.052000000000000005,0.044000000000000004,2.5
4/1/1995,0.08,0.053,0.047,2.7
5/1/1995,0.081,0.054000000000000006,0.045,2.7
6/1/1995,0.081,0.054000000000000006,0.044000000000000004,2.7
7/1/1995,0.083,0.054000000000000006,0.036000000000000004,2.6
8/1/1995,0.085,0.054000000000000006,0.035,2.6
9/1/1995,0.087,0.054000000000000006,0.036000000000000004,2.5
10/1/1995,0.086,0.054000000000000006,0.04,2.5
11/1/1995,0.086,0.053,0.04,2.5
12/1/1995,0.084,0.053,0.038,2.5
1/1/1996,0.086,0.053,0.039,2.5
